,symbol,name,price,dayHigh,dayLow,volume,open,close,time,SMA_5,SMA_10,BB_middle,BB_upper,BB_lower,RSI,MACD,Signal_Line,MACD_Histogram,volatility,Doji,Hammer,vd_positive_mean,vd_negative_mean,vd_neutral_mean,vd_compound_mean,fl_confidence_mean,vd_positive_med,vd_negative_med,vd_neutral_med,vd_compound_med,fl_confidence_med,NEGATIVE_x,POSITIVE_x,price_delta,fl_confidence_mean_delta,vd_compound_mean_delta,fl_confidence_med_delta,vd_compound_med_delta,NEGATIVE_y,POSITIVE_y,POSITIVE_delta
21,BTC,Bitcoin USD,72514.53,73236.7,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 16:00:00,71651.23400000001,71387.219,71387.219,72303.6657855291,70470.7722144709,77.24799732977313,650.2645243472216,575.0288311070221,75.23569324019945,0.43590316350217584,True,False,0.10257142857142856,0.0,0.8974285714285715,0.38289999999999996,-0.9593802179609027,0.118,0.0,0.882,0.4738,-0.9947479367256165,100.0,0.0,785.429999999993,0.009856751986912271,-0.14605000000000007,0.002440541982650757,0.0,100.0,0.0,0.0
22,BTC,Bitcoin USD,72716.06,73236.7,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 17:00:00,71912.61799999999,71550.554,71550.554,72760.8850013821,70340.2229986179,73.60077456833952,711.9824932878546,602.4195635431886,109.56292974466601,0.4256628117668205,True,False,0.10845454545454546,0.04263636363636363,0.848909090909091,0.3348181818181818,-0.9563785086978566,0.118,0.0,0.877,0.4738,-0.9947479367256165,100.0,0.0,201.52999999999884,0.003001709263046104,-0.04808181818181817,0.0,0.0,100.0,0.0,0.0
23,BTC,Bitcoin USD,72713.81,73236.7,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 18:00:00,72239.38,71725.265,71725.265,73059.10944237947,70391.42055762053,81.88758106099232,752.0437795713806,632.3444067488269,119.69937282255364,0.41209747842247785,True,False,0.15036363636363637,0.0,0.8496363636363636,0.5022636363636365,-0.7834382436492227,0.193,0.0,0.807,0.5106,-0.9985344409942628,90.9090909090909,9.090909090909092,-2.25,0.1729402650486339,0.16744545454545467,-0.0037865042686463513,0.036800000000000055,90.9090909090909,9.090909090909092,9.090909090909092
24,BTC,Bitcoin USD,73464.0,73500.0,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 19:00:00,72627.5,71955.36899999999,71955.36899999999,73612.75666619035,70297.98133380963,85.61906282429956,834.7047442713374,672.816474253329,161.88827001800837,0.4819418570589022,True,False,0.1546923076923077,0.0,0.8453076923076923,0.4952692307692308,-0.7758611028011029,0.193,0.0,0.807,0.5106,-0.9947479367256165,92.3076923076923,7.6923076923076925,750.1900000000023,0.007577140848119779,-0.006994405594405673,0.0037865042686463513,0.0,92.3076923076923,7.6923076923076925,-1.3986013986013992
25,BTC,Bitcoin USD,72291.31,73624.98,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 20:00:00,72739.942,72064.29000000001,72064.29000000001,73642.95406922646,70485.62593077356,62.78340563870986,796.4073833465518,697.5346560719736,98.87272727457821,0.7759513870821186,True,False,0.1182,0.0,0.8817999999999999,0.3397,-0.4845195710659027,0.0965,0.0,0.9035,0.2553,-0.8701993525028229,80.0,20.0,-1172.6900000000023,0.29134153173520017,-0.1555692307692308,0.12454858422279358,-0.2553,80.0,20.0,12.307692307692307
26,BTC,Bitcoin USD,72441.82,73624.98,69705.76,66547954427.65017,69911.74,69911.74,2024-10-29 21:00:00,72725.4,72188.317,72188.317,73656.76851606261,70719.86548393738,64.77168240083984,769.3329566009779,711.8943161777745,57.438640423203424,0.7741123496345942,True,False,0.10692857142857144,0.0,0.8930714285714286,0.3839642857142857,-0.9367112687655857,0.11449999999999999,0.0,0.8855,0.4175,-0.9990095496177673,100.0,0.0,150.5100000000093,-0.45219169769968304,0.0442642857142857,-0.12881019711494446,0.16219999999999996,100.0,0.0,-20.0
27,BTC,Bitcoin USD,72331.0,73624.98,69705.76,66547954427.65017,69911.74,69911.74,2024-10-29 22:00:00,72648.388,72280.503,72280.503,73643.51375711248,70917.49224288751,64.84483809192196,730.5131298732158,715.6180789168628,14.895050956352975,0.7794556727872732,True,False,0.1193,0.0,0.8807,0.42302999999999996,-0.960235470533371,0.1205,0.0,0.8795,0.4738,-0.9971162974834442,100.0,0.0,-110.82000000000698,-0.023524201767785247,0.03906571428571426,0.0018932521343231201,0.05630000000000002,100.0,0.0,0.0
28,BTC,Bitcoin USD,72607.98,73624.98,69705.76,66547954427.65017,69911.74,69911.74,2024-10-29 23:00:00,72627.222,72433.301,72433.301,73510.87186356094,71355.73013643907,65.45171859227688,713.8690704156033,715.268277216611,-1.3992068010076082,0.7534875724650384,True,False,0.15172727272727274,0.005545454545454545,0.8428181818181819,0.4975,-0.9723612449385903,0.13,0.0,0.81,0.4738,-0.999484658241272,100.0,0.0,276.9799999999959,-0.012125774405219336,0.07447000000000004,-0.002368360757827759,0.0,100.0,0.0,0.0
29,BTC,Bitcoin USD,72508.29,73624.98,69705.76,66547954427.65017,69911.74,69911.74,2024-10-30 00:00:00,72436.07999999999,72531.79000000001,72531.79000000001,73399.30506233477,71664.27493766525,63.78864428572316,684.7411141976336,709.1628446128154,-24.421730415181855,0.7460628589095608,True,False,0.14616666666666667,0.0,0.8538333333333333,0.47646666666666665,-0.9729113976160685,0.14200000000000002,0.0,0.858,0.4738,-0.9992646276950836,100.0,0.0,-99.69000000000233,-0.0005501526774781551,-0.02103333333333335,0.0002200305461883545,0.0,100.0,0.0,0.0
30,BTC,Bitcoin USD,72053.85,73624.98,69705.76,65335966308.25031,69911.74,69911.74,2024-10-30 01:00:00,72388.58799999999,72564.265,72564.265,73314.63661574182,71813.89338425818,58.21041315053294,617.8651244063658,690.9033005715255,-73.03817616515971,0.7810848376812616,True,False,0.07783333333333332,0.0,0.9221666666666666,0.28176666666666667,-0.9896381795406342,0.059,0.0,0.9410000000000001,0.2369,-0.999556839466095,100.0,0.0,-454.4399999999878,-0.01672678192456567,-0.19469999999999998,-0.00029221177101135254,-0.2369,100.0,0.0,0.0
